"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"73",1000,3,10,0.798627162152467,"0.851549295774648, 0.854444911505432, 0.750603225047081, 0.795545487426472, 0.7409928910087"
"74",750,4,10,0.797518727084384,"0.847042253521127, 0.857367667880182, 0.747275188323917, 0.796008071424492, 0.7399004542722"
"75",100,3,10,0.801599728228581,"0.859154929577465, 0.859790399215742, 0.753328036723164, 0.797508138051817, 0.73821713757472"
"76",750,4,5,0.796737959680204,"0.847323943661972, 0.859666720791785, 0.745939265536723, 0.791911442767128, 0.73884842564341"
"77",250,3,17,0.799925819006174,"0.866760563380282, 0.857863899102686, 0.741084039548023, 0.795153338028973, 0.738767254970906"
"78",50,3,15,0.804904479608728,"0.869577464788732, 0.859581739298023, 0.740639712806026, 0.802059736155794, 0.752663744995066"
"79",500,5,10,0.799925188043391,"0.850985915492958, 0.856810735590705, 0.753354519774011, 0.797759418248272, 0.74071535111101"
"80",250,4,15,0.797090315426927,"0.857887323943662, 0.858439041712256, 0.745147716572505, 0.790316194247206, 0.733661300659007"
"81",750,4,15,0.796514889917819,"0.845352112676056, 0.855250718169499, 0.750588512241055, 0.792539643258267, 0.738843463244218"
"82",250,6,20,0.800705641024038,"0.864084507042253, 0.858169680727563, 0.755246586629002, 0.788031828824884, 0.737995601896487"
"83",50,3,10,0.796196243469493,"0.862535211267606, 0.855270446016265, 0.740354284369115, 0.788410652757419, 0.73441062293706"
"84",1000,4,15,0.795241305327712,"0.841408450704225, 0.856807700537356, 0.748578742937853, 0.791928575507795, 0.737483056951329"
"85",900,5,17,0.800307150544283,"0.853521126760563, 0.856457910638924, 0.752474693973635, 0.79536654546839, 0.743715475879904"
"86",250,3,5,0.799063465638168,"0.865633802816901, 0.858530852076052, 0.735737405838041, 0.792927985380061, 0.742487282079784"
"87",250,6,17,0.797761515817633,"0.854929577464789, 0.857353251376776, 0.744997645951036, 0.793830309721879, 0.737696794573687"
"88",500,3,20,0.796659732398385,"0.848169014084507, 0.857713663961928, 0.74838747645951, 0.790639812682035, 0.738388694803943"
"89",500,3,17,0.797958091303414,"0.846056338028169, 0.855727980308574, 0.746810263653484, 0.797511945327521, 0.743683929199324"
"90",100,4,10,0.793954808434966,"0.859014084507042, 0.857555841187798, 0.724808733521657, 0.792760465249091, 0.735634917709243"
"91",50,4,5,0.795642701183082,"0.862535211267606, 0.852154963753875, 0.724279072504708, 0.79156878795378, 0.747675470435443"
"92",250,4,5,0.796786714321918,"0.86, 0.85546696572059, 0.736361228813559, 0.796493499076736, 0.735611877998707"
"93",1000,4,20,0.796977168209999,"0.847323943661972, 0.855511732757483, 0.747278130885122, 0.795379870933354, 0.739392162812064"
"94",100,5,10,0.799454251210209,"0.864507042253521, 0.860722160593778, 0.744000117702448, 0.790299061506539, 0.73774287399476"
"95",1000,5,15,0.796435748461879,"0.848169014084507, 0.855970025813129, 0.745589100753296, 0.791890502750757, 0.740560098907705"
"96",1000,5,10,0.794427320130633,"0.840845070422535, 0.855920706196213, 0.745783309792844, 0.794153928156707, 0.735433586084866"
"97",50,5,15,0.796817443737153,"0.867887323943662, 0.860027133376937, 0.722531191148776, 0.789964021244598, 0.743677548971791"
"98",100,4,15,0.797172537894511,"0.855774647887324, 0.856856261390935, 0.741254708097928, 0.788043250651996, 0.74393382144437"
"99",900,5,5,0.796038450092271,"0.84169014084507, 0.857803198035713, 0.750300141242938, 0.791959033713426, 0.738439736624207"
"100",250,5,5,0.796620177397765,"0.853521126760563, 0.857391189543634, 0.736608403954802, 0.79460889760332, 0.740971269126504"
"101",1000,6,15,0.796818693200164,"0.843661971830986, 0.85564603386816, 0.74623352165725, 0.794013058955664, 0.744538879688758"
"102",750,3,15,0.797841849313485,"0.848169014084507, 0.857623371124806, 0.750923964218456, 0.79250347413908, 0.739989423000578"
"103",1000,3,20,0.798954042420201,"0.846478873239437, 0.857381325620251, 0.750944562146893, 0.795486474653062, 0.744478976441364"
"104",250,6,5,0.799832377786852,"0.86112676056338, 0.85503371185507, 0.744497410546139, 0.79846566789134, 0.740038338078332"
"105",750,6,10,0.798147944130598,"0.855774647887324, 0.856021621720056, 0.747619467984934, 0.794066360815519, 0.73725762224516"
"106",1000,6,10,0.797434104285332,"0.851267605633803, 0.857802439272376, 0.742823093220339, 0.795347509089871, 0.73992987421027"
"107",100,3,15,0.799634030608039,"0.868169014084507, 0.853234683982658, 0.733824741054614, 0.790409472501951, 0.752532241416467"
"108",500,5,20,0.799627862782649,"0.855492957746479, 0.85894589562148, 0.750553201506591, 0.793752260569949, 0.739394998468745"
"109",500,4,20,0.799079059668385,"0.852957746478873, 0.856243180614507, 0.744476812617702, 0.795831033104262, 0.745886525526581"
"110",100,5,20,0.800015688857756,"0.863380281690141, 0.862718466933853, 0.728457509416196, 0.800432125792389, 0.7450900604562"
"111",900,5,20,0.796833034027759,"0.847042253521127, 0.854408490865248, 0.748834745762712, 0.79221792846129, 0.741661751528419"
"112",250,3,15,0.800979954276409,"0.856056338028169, 0.859968708599975, 0.750841572504708, 0.792823285298205, 0.745209866950988"
