"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"56",750,5,10,0.828267569814831,"0.818782920691788, 0.827678471440837, 0.82862224709221, 0.834854569307564, 0.831399640541755"
"57",100,3,20,0.829327607997637,"0.819529300748513, 0.826675927752862, 0.830102455467178, 0.836135820640812, 0.834194535378822"
"58",100,5,5,0.828759471292087,"0.819622598255603, 0.827718466534772, 0.829737399576322, 0.835082554716498, 0.831636337377239"
"59",900,3,5,0.828444126453514,"0.820117075043183, 0.827729131893154, 0.828394420240617, 0.834875901275652, 0.831104103814965"
"60",500,4,17,0.828469679992567,"0.819101465037426, 0.828681015128811, 0.827543067268876, 0.835393201501771, 0.831629651025954"
"61",500,4,10,0.828242650472546,"0.818553675388651, 0.827803789401833, 0.828811436641486, 0.834823904603439, 0.831220446327321"
"62",250,3,10,0.828231374671072,"0.8192520738703, 0.82713987084251, 0.828397084882156, 0.834422596953795, 0.831945246806599"
"63",900,6,20,0.828117097414462,"0.81866030111104, 0.828259733472694, 0.828175919634411, 0.833887964503605, 0.831601568350557"
"64",1000,4,17,0.828195047113224,"0.819501311496385, 0.82816374524725, 0.828022702745913, 0.834817238363411, 0.830470237713161"
"65",500,3,5,0.828015111462144,"0.81965858443691, 0.827370509217536, 0.829247105533128, 0.833399995733606, 0.830399362389541"
"66",750,5,20,0.82812606197865,"0.818893544878767, 0.827579816875797, 0.827624338835818, 0.835215879517044, 0.831316729785823"
"67",250,5,17,0.827921845852905,"0.817715330646365, 0.827601147592562, 0.83003850407024, 0.834214610264943, 0.830039636690417"
"68",50,6,20,0.828045798388689,"0.817342140618003, 0.830658105939005, 0.829100550248478, 0.833794637143223, 0.829333557994737"
"69",250,6,10,0.828587172899089,"0.818549676924061, 0.828581027393973, 0.829317718533914, 0.835559857502453, 0.830927584141045"
"70",50,6,5,0.827443292997998,"0.816830337150534, 0.828191741813004, 0.827261947586501, 0.832820032851231, 0.83211240558872"
"71",250,3,20,0.828845999118487,"0.820808809417184, 0.828587693242962, 0.829111208814634, 0.834309270873331, 0.831413013244325"
"72",250,5,15,0.828464609171357,"0.820289009020536, 0.828021096078881, 0.829285742835445, 0.835247877469175, 0.829479320452746"
"73",1000,3,10,0.827759587510965,"0.81915611072015, 0.828029095097668, 0.826874242242562, 0.834607918426554, 0.830130571067891"
"74",750,4,10,0.828592611191738,"0.819642590578551, 0.828250401284109, 0.828930013189976, 0.835903835487862, 0.830236215418191"
"75",100,3,10,0.827879423399829,"0.818495031241337, 0.828871658409902, 0.828795448792251, 0.830757498186783, 0.832477480368873"
"76",750,4,5,0.82864989962079,"0.819730556799522, 0.827783791854866, 0.828251861918275, 0.83614248688084, 0.831340800650448"
"77",250,3,17,0.827839335196533,"0.818818906873094, 0.826367965529562, 0.827633665081205, 0.835662517598874, 0.830713620899929"
"78",50,3,15,0.828525848114023,"0.821604503870514, 0.827241191747146, 0.830515474905738, 0.832200072528691, 0.831067997518026"
"79",500,5,10,0.827814155577085,"0.818944192096902, 0.827547820800648, 0.828062672369, 0.83385729979948, 0.830658792819394"
"80",250,4,15,0.828391890020414,"0.819349369841981, 0.828454376263178, 0.82962548463168, 0.834050620760271, 0.83047959860496"
"81",750,4,15,0.828329490275331,"0.81905614910541, 0.828738341430118, 0.828471694845251, 0.834757242203166, 0.830624023792712"
"82",250,6,20,0.828373191747947,"0.819890495383106, 0.82776912698709, 0.829159172362338, 0.833355998549426, 0.831691165457774"
