"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"111",900,5,20,0.8280480410389,"0.81926140362101, 0.828313060264607, 0.827950757424358, 0.833977292119971, 0.830737691764555"
"112",250,3,15,0.828469401601705,"0.81846304352462, 0.82662793364014, 0.831168312082817, 0.834633250138658, 0.831454468622291"
"113",500,4,15,0.828311046943298,"0.818742936045892, 0.828517035243677, 0.82809065110516, 0.83445059516191, 0.831754017159852"
"114",500,5,17,0.82871771771741,"0.820716844731623, 0.827055881145246, 0.829406984025474, 0.835005226332181, 0.831403652352526"
"115",250,5,10,0.828136230712273,"0.819068144499179, 0.828938316899794, 0.827916117084349, 0.833269337429071, 0.831489237648972"
"116",750,3,5,0.828010203057578,"0.818428390164843, 0.828169077926441, 0.82820922765365, 0.83449459234609, 0.830749727196868"
"117",250,6,15,0.828404940675379,"0.820166389439788, 0.826725255035382, 0.830342273205697, 0.835003893084176, 0.829786892611849"
"118",750,4,20,0.828619908129702,"0.820166389439788, 0.829075633388971, 0.828046684519765, 0.835099886940569, 0.830710946359415"
"119",100,4,20,0.828312333677469,"0.82124464205745, 0.825150781504136, 0.82741116751269, 0.835591855454584, 0.832163221858485"
"120",500,4,5,0.828285308424446,"0.819229415904293, 0.827526490083883, 0.828165261068255, 0.835821174111524, 0.830684200954276"
