"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"70",500,5,0.1,0.6,5,0,0.7,0.805257776704317,"0.770647768771711, 0.791778690673892, 0.774925129188851, 0.89247796474359, 0.796459330143541"
"71",100,3,0.1,0.7,10,0.1,0.6,0.813336214520148,"0.784087282147205, 0.784513591469277, 0.766748062167241, 0.915286252876397, 0.816045883940621"
"72",1000,3,0.01,0.7,5,0.1,0.6,0.813280037420509,"0.779656928238473, 0.791369635521371, 0.759397999530222, 0.913082727235371, 0.822892896577107"
"73",500,5,0.1,0.7,1,0.1,0.8,0.800991243506599,"0.76577484338351, 0.801900183550389, 0.754059172408393, 0.883604793310322, 0.799617224880383"
"74",1000,5,0.1,0.7,10,0,0.7,0.798599573306659,"0.763952599388379, 0.781608251027008, 0.767129756498591, 0.886856149326101, 0.793451110293216"
"75",1000,3,0.05,0.6,10,0,0.8,0.806041727473581,"0.767457913957424, 0.795701424700638, 0.772116250391481, 0.891188722468771, 0.803744325849589"
"76",100,5,0.05,0.6,1,0.1,0.7,0.814588090497706,"0.786669413022179, 0.788009789354077, 0.764315984184153, 0.915532801199869, 0.818412464728254"
"77",500,3,0.05,0.8,10,0,0.7,0.810084089561629,"0.780133829161842, 0.786551874836116, 0.760743716724084, 0.904836199457594, 0.818154827628512"
"78",1000,5,0.01,0.8,5,1,0.6,0.813398375760216,"0.779788679077225, 0.794365877108644, 0.75743080566865, 0.911105204224195, 0.824301312722365"
"79",100,5,0.1,0.7,1,0.1,0.7,0.810147365345992,"0.776775110596479, 0.792145791451796, 0.761580508142812, 0.904063167735043, 0.816172248803828"
"80",100,5,0.05,0.7,1,0,0.6,0.81463972297184,"0.787300332531694, 0.796551000786645, 0.750961576103977, 0.913755598701512, 0.82463010673537"
"81",500,5,0.01,0.6,5,0,0.8,0.813183956162653,"0.781948650574508, 0.792974390350494, 0.754563204666458, 0.911521254520053, 0.824912280701754"
"82",500,5,0.01,0.7,5,1,0.7,0.815116051441414,"0.779859193610641, 0.793184162223582, 0.762285174600689, 0.912792519312952, 0.827459207459207"
"83",1000,5,0.01,0.7,5,0,0.7,0.812463186254563,"0.779180027315103, 0.795778341054104, 0.757357402912621, 0.908719335552268, 0.821280824438719"
"84",50,3,0.1,0.7,1,0,0.8,0.81033069691619,"0.775196883999881, 0.786356087754567, 0.757046664578766, 0.912132488905326, 0.820921359342412"
"85",100,5,0.05,0.6,10,0.1,0.6,0.814556687464581,"0.785474377245331, 0.788663578358535, 0.765749784685249, 0.911749825361604, 0.821145871672187"
