"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"30",100,5,0.05,0.8,1,1,0.8,0.742409347210305,"0.892498445273632, 0.771309745913291, 0.609159559346127, 0.842232458354366, 0.685652763755679, 0.526303792276628, 0.736804903984487, 0.747756927503597, 0.571275202768916, 0.787959183673469, 0.845102040816327, 0.892857142857143"
"31",500,3,0.05,0.8,10,0.1,0.6,0.752436179738201,"0.8984375, 0.757235030206112, 0.693616737739872, 0.853800164058556, 0.683420620898536, 0.573100706713781, 0.734545568274223, 0.739644711327954, 0.624208627843456, 0.81530612244898, 0.81312925170068, 0.842789115646258"
"32",1000,3,0.01,0.7,10,0.1,0.7,0.75425418768428,"0.87355854655295, 0.77570184790334, 0.685473303127221, 0.81833827612317, 0.68481985108531, 0.569307641342756, 0.73856091407602, 0.742123808928087, 0.627587831779988, 0.867959183673469, 0.813877551020408, 0.85374149659864"
"33",100,5,0.01,0.7,5,0.1,0.8,0.714818192420568,"0.847348081023454, 0.7740799351457, 0.556251665778252, 0.782142857142857, 0.683444283190308, 0.550470879606259, 0.739274201955756, 0.737253810387607, 0.600885928149955, 0.721292517006803, 0.744965986394558, 0.840408163265306"
"34",50,3,0.1,0.7,1,0.1,0.7,0.719542702690345,"0.856956289978678, 0.780086176261549, 0.4630036202914, 0.788972583291267, 0.683144560827865, 0.526266721352852, 0.741791038552157, 0.740652405079127, 0.612822710118638, 0.755578231292517, 0.804081632653061, 0.881156462585034"
"35",500,3,0.01,0.8,5,1,0.6,0.747226756299246,"0.85408670931059, 0.77529539800995, 0.658130663646055, 0.786706524482585, 0.679647274103988, 0.586447816759213, 0.73789662434061, 0.742627134546819, 0.602005379370739, 0.834285714285714, 0.821292517006803, 0.888299319727891"
"36",500,5,0.05,0.6,10,0,0.6,0.750003312308518,"0.908600968372424, 0.776565831556503, 0.707537646588486, 0.87070766027259, 0.687411660777385, 0.576816475265018, 0.741193052688643, 0.742296866203791, 0.575508225433164, 0.810816326530612, 0.772040816326531, 0.830544217687075"
"37",50,5,0.01,0.6,10,1,0.6,0.698478139265546,"0.835859763681592, 0.767753864605544, 0.60588908137882, 0.765712550479556, 0.673635474507824, 0.555525145128723, 0.732789141177207, 0.741857759429536, 0.617102645899794, 0.601836734693878, 0.650646258503401, 0.83312925170068"
"38",1000,3,0.01,0.6,5,1,0.7,0.751480958347971,"0.877001154939588, 0.77625710732054, 0.687905339374556, 0.823255300353357, 0.686310575466936, 0.579463496971227, 0.737083463647547, 0.736656033026834, 0.625539709347178, 0.809727891156463, 0.822857142857143, 0.855714285714286"
"39",500,5,0.05,0.6,5,1,0.7,0.755538340076896,"0.91395144811656, 0.778958999644634, 0.688183524342573, 0.877139071176174, 0.662602536597678, 0.565404151943463, 0.725995287838035, 0.746804278476262, 0.644903775984654, 0.77891156462585, 0.813809523809524, 0.869795918367347"
