"","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"59",250,5,0.01,5,0.85643136324226,"0.846594907555499, 0.859069287500733, 0.855313961389344, 0.864524670421093, 0.856653989344631"
"60",500,5,0.01,20,0.858659505182145,"0.850689335295247, 0.861832948491652, 0.856664934649666, 0.866624536029694, 0.857485771444466"
"61",100,6,0.01,20,0.854139496448764,"0.844844912886785, 0.858216058830117, 0.850894653396752, 0.862222151115662, 0.854519706014507"
"62",250,5,0.01,20,0.8562889357427,"0.843918601923528, 0.859511899873616, 0.855585754826332, 0.865161962967703, 0.857266459122323"
"63",500,3,0.005,5,0.853055873773965,"0.841884716268953, 0.856108317379735, 0.852783884247972, 0.859832970689876, 0.854669480283287"
"64",50,5,0.005,5,0.850223136679886,"0.841770093617384, 0.854443188302235, 0.848321941990754, 0.854514644396092, 0.852065815092967"
"65",100,4,0.005,20,0.84965559186446,"0.840462595696586, 0.854235213813772, 0.848936141865515, 0.853656032680575, 0.850987975265849"
"66",50,5,0.01,15,0.851812029496981,"0.842388522807242, 0.856788233976632, 0.847959550741436, 0.859950296514356, 0.851973543445236"
"67",50,6,0.005,15,0.851531279693631,"0.841656803787346, 0.853668616649691, 0.84901208414938, 0.861630189001237, 0.851688704880502"
"68",50,3,0.01,5,0.845100943700454,"0.836366835135308, 0.848879870735856, 0.843175186857988, 0.849308310934767, 0.847774514838351"
"69",500,3,0.005,10,0.852619532162805,"0.8418154095494, 0.855303082821841, 0.852550728113301, 0.858563718588677, 0.854864721740805"
"70",500,6,0.005,5,0.857662576602408,"0.847066726377071, 0.860550439146131, 0.855897517886406, 0.865560604121336, 0.859237595481096"
"71",750,5,0.01,10,0.857981113651607,"0.850297485765466, 0.861440996571087, 0.85647574510039, 0.865243291096036, 0.856448049725057"
"72",50,6,0.005,20,0.852067390383357,"0.842724393832768, 0.856077654474384, 0.849505042834113, 0.858495722940398, 0.85353413783512"
"73",100,5,0.005,15,0.8515282917729,"0.842025995351119, 0.855940337985207, 0.848039489987609, 0.858406395324033, 0.853229240216531"
"74",750,3,0.01,15,0.857056800839785,"0.850526731068603, 0.860843736501656, 0.85405625058289, 0.864131362259482, 0.855725923786294"
"75",250,5,0.01,10,0.856320754370127,"0.845180783912311, 0.859035958255787, 0.855625724449418, 0.865101966807458, 0.856659338425658"
"76",750,4,0.01,5,0.857773895582483,"0.850588040858977, 0.86178495437893, 0.855772279734069, 0.864896646614617, 0.855827556325823"
"77",500,5,0.01,5,0.85872651626196,"0.851302433198985, 0.862750169312564, 0.856025420680283, 0.866440547804941, 0.857114010313028"
"78",500,5,0.005,15,0.856393406978712,"0.846144413878404, 0.859073287010127, 0.855234022143171, 0.86508063483937, 0.856434677022488"
"79",1000,3,0.01,5,0.857234392534135,"0.850846608235771, 0.861315678610091, 0.854719746326125, 0.864248688083963, 0.855041241414725"
