"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"82",500,5,0.01,0.7,5,1,0.7,0.72873079957347,"0.71982391782832, 0.522452153369313, 0.867047090083773, 0.607018135189595, 0.927312701396348"
"83",1000,5,0.01,0.7,5,0,0.7,0.736478958527172,"0.746786500366838, 0.521211283785248, 0.869888733070082, 0.609743909140868, 0.934764366272825"
"84",50,3,0.1,0.7,1,0,0.8,0.723128176885473,"0.724093910491563, 0.498664304137677, 0.863434041488808, 0.613811320754717, 0.915637307554601"
"85",100,5,0.05,0.6,10,0.1,0.6,0.724397219793786,"0.711724137931035, 0.51445423412879, 0.867789279666056, 0.599620443304635, 0.928398003938417"
"86",100,3,0.1,0.8,10,1,0.8,0.726363523379777,"0.745942773294204, 0.500804668704077, 0.865878449028798, 0.593210478109544, 0.925981247762263"
"87",50,3,0.05,0.6,5,0.1,0.6,0.710913270738765,"0.676544387380778, 0.502416715434467, 0.860023967392864, 0.595815350796849, 0.919765932688865"
"88",100,3,0.1,0.8,5,0,0.6,0.728348894928316,"0.730814380044021, 0.51245475431866, 0.865442771442513, 0.609859681260304, 0.923172887576083"
"89",1000,3,0.01,0.6,5,0,0.7,0.734519777285048,"0.751724137931034, 0.513278388278388, 0.868783649686517, 0.611846858398974, 0.926965852130326"
"90",50,5,0.01,0.6,1,0.1,0.6,0.714345891455962,"0.663213499633162, 0.511102802522921, 0.862907640452203, 0.615181535079685, 0.919323979591837"
"91",50,5,0.01,0.7,10,0,0.6,0.714936356693295,"0.688217168011739, 0.502489867134838, 0.862756947263535, 0.604814068510716, 0.91640373254565"
"92",100,5,0.05,0.6,5,0.1,0.6,0.731097912541533,"0.728378576669112, 0.516361596982899, 0.865796439130203, 0.616208096721011, 0.92874485320444"
"93",500,5,0.05,0.7,10,0,0.6,0.732501870448251,"0.751019809244314, 0.519108849730151, 0.874328543955255, 0.592205165781279, 0.925846983530254"
"94",500,3,0.05,0.7,5,0,0.7,0.739080361748476,"0.775157740278797, 0.51716355636474, 0.870791867078356, 0.596103315625572, 0.936185329394916"
"95",50,3,0.01,0.6,5,0,0.7,0.702547364883397,"0.623272193690389, 0.507358519192839, 0.852876292168465, 0.609200952555413, 0.920028866809882"
"96",1000,3,0.01,0.7,1,0.1,0.8,0.733074602595315,"0.755964783565664, 0.505822333485055, 0.868520192887281, 0.610494229712402, 0.924571473326173"
"97",100,5,0.01,0.7,5,0.1,0.8,0.700389569325663,"0.596955245781365, 0.51321065522249, 0.863991196237386, 0.609585638395311, 0.918205110991765"
"98",50,3,0.01,0.7,1,0,0.8,0.69349659516304,"0.578730741012472, 0.505567657194876, 0.858591356976787, 0.603954570434145, 0.920638650196921"
"99",1000,5,0.05,0.6,10,1,0.7,0.734957000067275,"0.761335289801908, 0.519666970110757, 0.874573548527307, 0.592612566404103, 0.926596625492302"
"100",100,5,0.1,0.8,5,0.1,0.7,0.734996610069049,"0.765869405722671, 0.510016364306305, 0.869123990765685, 0.596976735665873, 0.932996553884712"
"101",50,3,0.1,0.8,10,1,0.6,0.714022796648442,"0.681137197358767, 0.499951232199753, 0.860784609202331, 0.608816266715516, 0.919424677765843"
"102",500,5,0.1,0.8,10,1,0.7,0.734747439012871,"0.761995597945708, 0.520420161692351, 0.875725787602564, 0.585082982231178, 0.930512665592553"
"103",500,3,0.05,0.7,10,0.1,0.6,0.736389283627805,"0.757109317681585, 0.518388170015389, 0.872268045253062, 0.601005312328265, 0.933175572860723"
"104",1000,5,0.01,0.6,10,0,0.8,0.736278807070855,"0.755685986793837, 0.519872878600689, 0.873706293849668, 0.598516944495329, 0.933611931614751"
"105",1000,5,0.05,0.8,1,0,0.6,0.731598664883959,"0.756089508437271, 0.519851204022802, 0.870854399626035, 0.593228063747939, 0.91797014858575"
"106",100,5,0.1,0.7,5,0,0.8,0.732441293650377,"0.759207630227439, 0.514435268873139, 0.870677053220324, 0.589801795200586, 0.928084720730397"
"107",1000,3,0.1,0.6,5,0,0.6,0.731369571987923,"0.74452677916361, 0.529393436937816, 0.871416167431409, 0.576679978017952, 0.934831498388829"
"108",500,5,0.05,0.6,1,0.1,0.7,0.731839998627531,"0.768525311812179, 0.525730433274812, 0.871553534011555, 0.585490382854003, 0.907900331185106"
"109",50,3,0.01,0.6,1,1,0.6,0.698632272751908,"0.596346294937638, 0.502088887443917, 0.858033689666343, 0.614437076387617, 0.922255415324024"
"110",100,5,0.01,0.8,1,1,0.7,0.713905271515149,"0.648158473954512, 0.518084725924963, 0.863418664632821, 0.618252427184466, 0.921612065878983"
"111",100,5,0.05,0.8,10,1,0.7,0.727357492372028,"0.723925165077036, 0.519883715889633, 0.867772877686337, 0.597624473346767, 0.927581229860365"
"112",1000,5,0.1,0.8,10,1,0.7,0.734425664136233,"0.774534115920763, 0.52421321282268, 0.873070717135558, 0.580818464920315, 0.919491809881847"
"113",500,3,0.05,0.8,10,0.1,0.8,0.736568839449342,"0.750388848129127, 0.520680256627002, 0.873182455622394, 0.603470232643341, 0.935122404224848"
"114",100,5,0.05,0.8,10,1,0.8,0.724903367293261,"0.711768158473954, 0.509907991416867, 0.866489422773329, 0.610806374793918, 0.925544889008235"
"115",50,5,0.05,0.8,10,0,0.8,0.711139491344867,"0.65070432868672, 0.513031839954917, 0.865790288387808, 0.601767356658729, 0.924403643036162"
"116",1000,5,0.05,0.7,1,0,0.7,0.731967252215391,"0.754849596478357, 0.523053622905694, 0.873739097809106, 0.601591500274776, 0.906602443609023"
"117",500,5,0.05,0.7,5,1,0.8,0.735519474355337,"0.742054292002935, 0.522750178815268, 0.875616099363193, 0.601069793002381, 0.936107008592911"
"118",500,3,0.1,0.6,10,0.1,0.6,0.732717880306464,"0.777432134996332, 0.52261471270347, 0.872690396230825, 0.580400806008426, 0.910451351593269"
"119",100,5,0.01,0.7,1,0,0.8,0.710916295864216,"0.652824651504035, 0.513115828944231, 0.861938898525052, 0.603674665689687, 0.923027434658074"
"120",100,3,0.1,0.7,10,1,0.8,0.732495386447295,"0.747278063096112, 0.514047835793398, 0.869060433094274, 0.605124748122367, 0.926965852130326"
