"","iteration","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"85",85,250,4,0.01,20,0.717847578613162,"0.839276830135039, 0.776069429637527, 0.572399720149254, 0.77303445229682, 0.681822627460878, 0.564795242301868, 0.734085194220304, 0.736617251516857, 0.602668835095182, 0.711496598639456, 0.744965986394558, 0.876938775510204"
"86",86,750,5,0.01,20,0.732339778504048,"0.876642457356077, 0.778709132906894, 0.54543354655295, 0.823253722867239, 0.686988894497728, 0.540782748611812, 0.734829966014053, 0.731696586810117, 0.585794708200413, 0.830612244897959, 0.793333333333333, 0.86"
"87",87,250,6,0.01,10,0.731301035742935,"0.854464285714286, 0.775862873134328, 0.636711531627576, 0.791522589601211, 0.685782906360424, 0.58051094775366, 0.739807343466567, 0.734591021871938, 0.649420153875023, 0.723197278911565, 0.722993197278912, 0.880748299319728"
"88",88,1000,6,0.01,10,0.740625829931848,"0.892796064321251, 0.774253731343284, 0.648400852878465, 0.846565812720848, 0.683485297829379, 0.556610455577991, 0.736961281040846, 0.73081628823419, 0.643742624215508, 0.768163265306122, 0.75421768707483, 0.851496598639456"
"89",89,750,6,0.005,10,0.734869298160025,"0.864937588841507, 0.777353189410092, 0.659840307391613, 0.807923712771328, 0.687141910651186, 0.546020002523978, 0.741278955818269, 0.737704801818144, 0.613918183524113, 0.715578231292517, 0.776666666666667, 0.890068027210884"
"90",90,50,6,0.005,10,0.721600281726226,"0.827463686034115, 0.763797085998579, 0.636533848614072, 0.758670652448258, 0.677090957849571, 0.554917024230187, 0.740290652822085, 0.733834365421905, 0.607693542670086, 0.786700680272109, 0.735340136054422, 0.83687074829932"
"91",91,100,5,0.005,20,0.698100959309016,"0.82701059434968, 0.755959599324805, 0.631432125088842, 0.75353672387683, 0.67397542276628, 0.520593292529026, 0.734842893184045, 0.741658847813849, 0.578542148829257, 0.683605442176871, 0.631768707482993, 0.844285714285714"
"92",92,50,4,0.01,10,0.714652252515681,"0.821252554193319, 0.771009350568586, 0.622391946517413, 0.747625883392226, 0.674070860676426, 0.554152732205957, 0.735467984403995, 0.742049373449261, 0.641649882195951, 0.653265306122449, 0.787891156462585, 0.825"
"93",93,50,5,0.01,10,0.708982057302026,"0.827103322672353, 0.767210820895522, 0.581082311656006, 0.757127082281676, 0.673095185512367, 0.542962834427057, 0.731698463334793, 0.735904380642605, 0.594899605929818, 0.775170068027211, 0.667857142857143, 0.853673469387755"
"94",94,50,5,0.01,5,0.731354037284698,"0.826932858031272, 0.771316964285714, 0.644369669509595, 0.753415257445734, 0.67058146138314, 0.550214538112065, 0.736240487062405, 0.73466733387544, 0.603067700840266, 0.811836734693878, 0.800986394557823, 0.872619047619048"
"95",95,100,4,0.005,5,0.705944750665805,"0.824300373134328, 0.770763925906183, 0.554323805081734, 0.747754448510853, 0.680952643866734, 0.50543522841999, 0.731712641521236, 0.736374971330873, 0.580705364775547, 0.771258503401361, 0.733809523809524, 0.833945578231292"
"96",96,250,3,0.005,10,0.702658432541899,"0.824248734008529, 0.769299706823028, 0.592869913823738, 0.749444724886421, 0.681440875820293, 0.544403867995962, 0.729406601196806, 0.732717833239507, 0.608477095973812, 0.619047619047619, 0.716666666666667, 0.863877551020408"
"97",97,1000,6,0.01,20,0.735785599607293,"0.890339596659559, 0.776944518479033, 0.564482276119403, 0.843049596163554, 0.687173460373549, 0.570300668854114, 0.741470361335252, 0.736037613894623, 0.620105293884615, 0.764897959183673, 0.795646258503401, 0.838979591836735"
"98",98,1000,4,0.01,15,0.747631074456597,"0.878805748045487, 0.777739649964463, 0.654283826403696, 0.825826602725896, 0.686611875315497, 0.5825601022211, 0.738328642021643, 0.731953045182544, 0.629817143095432, 0.777687074829932, 0.83047619047619, 0.857482993197279"
"99",99,250,4,0.005,15,0.709181444156637,"0.829738583866382, 0.768264703269367, 0.589945917732765, 0.756138787228672, 0.679643330388693, 0.56930448637052, 0.735425241341924, 0.738095327453556, 0.649403265152937, 0.677142857142857, 0.648639455782313, 0.86843537414966"
"100",100,50,5,0.005,20,0.692380904511513,"0.822241471215352, 0.75874644633973, 0.561134617093106, 0.748894970974255, 0.674980281423524, 0.530066885411408, 0.734951731615271, 0.742095035549717, 0.590357373699464, 0.601292517006803, 0.698673469387755, 0.845136054421769"
"101",101,1000,3,0.005,20,0.718824269208656,"0.847552416488984, 0.775919509594883, 0.539705490405117, 0.782660272589601, 0.683611496718829, 0.507277732205957, 0.736136861199725, 0.734925877275286, 0.59272742436563, 0.800680272108844, 0.759659863945578, 0.865034013605442"
"102",102,1000,4,0.01,10,0.740641183113674,"0.880511504975124, 0.776370380241649, 0.677023365316276, 0.827661219081272, 0.682868500757193, 0.566013850328117, 0.736477554679844, 0.735075165238423, 0.626577010487688, 0.784761904761905, 0.737755102040816, 0.856598639455782"
"103",103,500,6,0.01,5,0.741968561978882,"0.875690742714996, 0.77916999822317, 0.654347125977257, 0.822321428571429, 0.682592440686522, 0.540498012367491, 0.737302808531932, 0.733943829361356, 0.624354996768207, 0.827142857142857, 0.755578231292517, 0.870680272108844"
"104",104,750,5,0.005,5,0.72076868591375,"0.859417199715707, 0.778378198294243, 0.585320606787491, 0.798788490661282, 0.68280382382635, 0.516267036850076, 0.736469214570172, 0.734796605575363, 0.581744959446217, 0.763401360544218, 0.742517006802721, 0.869319727891157"
