"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","mean_ROC_AUC","fold_ROC_AUC"
"63",1000,40,0.01,0.6,0.6,0.810376418293949,"0.776767688014014, 0.801344288086706, 0.754651287973692, 0.897896891436555, 0.821221935958778"
"64",1000,10,0.05,0.8,0.6,0.800088997332688,"0.761252635016775, 0.802788217813128, 0.745343818509239, 0.880825988247863, 0.810234327076432"
"65",100,40,0.1,0.7,0.6,0.807880028759396,"0.77296732579199, 0.801707892666725, 0.75074626135296, 0.889265131903353, 0.824713532081953"
"66",100,20,0.05,0.8,0.7,0.812825953046289,"0.779519610462872, 0.795939166156804, 0.752733029282806, 0.911962986932939, 0.823974972396025"
"67",500,30,0.1,0.7,0.7,0.80344794659356,"0.759202146610849, 0.804406957433791, 0.765617659724397, 0.885340904421433, 0.802672064777328"
"68",100,20,0.1,0.7,0.6,0.806662021166627,"0.772195377215641, 0.795115811554934, 0.743655555120576, 0.901867346729126, 0.820476015212857"
"69",100,20,0.01,0.7,0.8,0.81008358862011,"0.782606476945459, 0.77369985141159, 0.760281279361102, 0.911277274408284, 0.822553060974114"
"70",500,20,0.1,0.6,0.6,0.804831003983228,"0.763158383064636, 0.800019229088366, 0.753946621515816, 0.893248428254438, 0.813782357992884"
"71",500,40,0.01,0.6,0.7,0.812010788850811,"0.779135491820314, 0.795802814439297, 0.756789754932665, 0.905013406065089, 0.823312476996688"
"72",1000,40,0.1,0.7,0.7,0.806309040195578,"0.762239838484606, 0.807798269382047, 0.765554044002505, 0.891612477399737, 0.804340571708993"
"73",50,10,0.05,0.7,0.7,0.810829159234987,"0.780388052611265, 0.777751944760073, 0.757100493266521, 0.912587062376726, 0.826318243160348"
"74",500,30,0.1,0.8,0.8,0.803564194525542,"0.767135031620201, 0.796099991259505, 0.761472850767304, 0.886802216880342, 0.806310882100356"
"75",100,10,0.1,0.6,0.6,0.807105418748765,"0.77495193877854, 0.793956821956123, 0.750804983557783, 0.898686616535174, 0.817126732916207"
"76",1000,10,0.01,0.6,0.6,0.809814890047511,"0.775238636026246, 0.793858928415348, 0.748974808174131, 0.910278240055884, 0.820723837565943"
"77",50,40,0.01,0.6,0.6,0.812948269284746,"0.788190114604673, 0.774383358098068, 0.768862061540871, 0.912527993507561, 0.820777818672556"
"78",50,10,0.01,0.8,0.8,0.806976538457848,"0.774651324188712, 0.761859977274714, 0.75596030378954, 0.912987703402367, 0.82942338363391"
