species,decimalLongitude,decimalLatitude
Gentianella campestris,18.3477,60.3122
Gentianella campestris,17.6112,58.9674
Gentianella campestris,17.9245,60.1486
Gentianella campestris,16.7149,58.3859
Gentianella campestris,15.2813,58.2214
Gentianella campestris,18.4693,59.0743
Gentianella campestris,16.814,59.3451
Gentianella campestris,16.3965,58.5859
Gentianella campestris,15.2163,61.2417
Gentianella campestris,16.5597,62.1606
Gentianella campestris,17.5443,62.4378
Gentianella campestris,16.6429,62.1848
Gentianella campestris,17.7594,60.4047
Gentianella campestris,17.323,60.711
Gentianella campestris,11.1783,58.7347
Gentianella campestris,14.8534,57.873
Gentianella campestris,18.6836,59.8769
Gentianella campestris,18.8283,59.9533
Gentianella campestris,16.2433,62.2201
Gentianella campestris,15.4026,58.8295
Gentianella campestris,11.2517,58.4294
Gentianella campestris,11.631842,62.62264
Gentianella campestris,9.4896,62.1726
Gentianella campestris,9.305,61.4869
Gentianella campestris,8.385245,61.714236
Gentianella campestris,8.544429,59.883278
Gentianella campestris,17.268701,68.749306
Gentianella campestris,12.33058,58.76263
Gentianella campestris,12.2933,59.11559
Gentianella campestris,9.901735,62.148048
