species,decimalLongitude,decimalLatitude
Gentianella campestris,8.7518,60.4625
Gentianella campestris,9.73653959621852,61.4101078245448
Gentianella campestris,9.7394,62.1804
Gentianella campestris,10.8435,60.5991
Gentianella campestris,9.5476,62.1948
Gentianella campestris,10.1278,62.2945
Gentianella campestris,10.9573,60.5795
Gentianella campestris,11.0124322722451,62.5699673856114
Gentianella campestris,10.1944207906559,62.1875437505099
Gentianella campestris,9.497,62.6213
Gentianella campestris,9.5489,62.2621
Gentianella campestris,9.1437,62.1105
Gentianella campestris,9.6059,62.226
Gentianella campestris,9.8163,62.18
Gentianella campestris,9.8791,62.3591
Gentianella campestris,9.8389,62.3055
Gentianella campestris,11.2162,64.7416
Gentianella campestris,15.02421,57.59612
Gentianella campestris,14.73719,61.15405
Gentianella campestris,15.3622,57.91099
Gentianella campestris,17.97302,59.74596
Gentianella campestris,15.14941,62.71494
Gentianella campestris,14.8339,59.24595
Gentianella campestris,10.865027,60.640565
Gentianella campestris,10.839124,60.603204
Gentianella campestris,10.856355,60.648768
Gentianella campestris,17.86324,59.18626
Gentianella campestris,14.15118,56.96856
Gentianella campestris,15.80533,61.96185
Gentianella campestris,16.11249,62.09266
Gentianella campestris,15.1631,61.7419
Gentianella campestris,16.69976,61.21778
Gentianella campestris,18.44906,59.98893
Gentianella campestris,12.09378,59.48334
Gentianella campestris,15.09295,58.14618
Gentianella campestris,13.36118,58.08881
Gentianella campestris,11.87877,57.68409
Gentianella campestris,15.67002,59.7214
Gentianella campestris,14.77359,61.17677
Gentianella campestris,15.46687,60.62628
Gentianella campestris,15.2813,58.22146
Gentianella campestris,15.95696,58.0543
Gentianella campestris,16.67611,58.38749
Gentianella campestris,15.04583,58.15501
Gentianella campestris,15.451,57.9687
Gentianella campestris,15.54025,57.87895
Gentianella campestris,15.8193,57.85739
Gentianella campestris,15.60211,57.97946
Gentianella campestris,15.82518,59.00459
Gentianella campestris,15.53702,58.80368
Gentianella campestris,14.68152,58.10501
Gentianella campestris,15.4162,58.07648
Gentianella campestris,18.34659,59.58683
Gentianella campestris,12.59584,59.93055
Gentianella campestris,12.32074,59.59471
Gentianella campestris,12.72687,59.9579
Gentianella campestris,12.76406,59.93806
Gentianella campestris,12.80266,59.87253
Gentianella campestris,12.61023,59.32632
Gentianella campestris,12.51053,59.21724
Gentianella campestris,12.26363,59.57293
Gentianella campestris,12.79456,59.86336
Gentianella campestris,12.76258,59.92011
Gentianella campestris,12.53957,59.34982
Gentianella campestris,16.32426,58.82454
Gentianella campestris,16.8172,58.97091
Gentianella campestris,14.4256,57.82462
Gentianella campestris,13.71002,57.45733
Gentianella campestris,15.62048,57.49234
Gentianella campestris,14.08672,57.5869
Gentianella campestris,13.92351,57.48841
Gentianella campestris,16.09055,57.38713
Gentianella campestris,9.7823,62.3508
Gentianella campestris,9.2011,62.0925
Gentianella campestris,11.7512,61.697
Gentianella campestris,7.85122664614243,60.2543428008697
Gentianella campestris,8.66621968649659,61.0404822348033
Gentianella campestris,14.89332,58.95761
Gentianella campestris,15.06531,58.13197
Gentianella campestris,17.61173,59.62115
Gentianella campestris,15.81993,58.92856
Gentianella campestris,15.27176,58.65135
Gentianella campestris,14.64212,57.85638
Gentianella campestris,15.03091,57.79291
Gentianella campestris,14.24432,56.82516
Gentianella campestris,15.46178,58.57367
Gentianella campestris,17.43492,62.77685
Gentianella campestris,15.7599,61.46177
Gentianella campestris,15.56288,58.19638
Gentianella campestris,11.10073,58.96335
Gentianella campestris,11.69605,57.99423
Gentianella campestris,17.26644,60.75225
Gentianella campestris,11.148073,64.809908
Gentianella campestris,14.571366,67.051182
Gentianella campestris,7.962604,62.520885
Gentianella campestris,10.089024,59.711184
Gentianella campestris,9.805183,59.644666
Gentianella campestris,14.460235,67.036043
Gentianella campestris,9.565441,59.536828
Gentianella campestris,7.872718,62.511316
Gentianella campestris,10.087631,59.706707
Gentianella campestris,9.443387,59.975908
Gentianella campestris,15.313,57.69825
Gentianella campestris,14.51589,57.66479
Gentianella campestris,14.96665,57.95323
Gentianella campestris,15.45527,57.03066
Gentianella campestris,15.66482,56.49046
Gentianella campestris,17.98493,60.26228
Gentianella campestris,18.00056,60.46852
Gentianella campestris,17.66136,60.41981
Gentianella campestris,17.90084,60.58594
Gentianella campestris,17.86255,60.52908
Gentianella campestris,11.4058,60.7186
Gentianella campestris,8.3181,60.8969
Gentianella campestris,11.5245,59.5369
Gentianella campestris,7.8309,63.3763
Gentianella campestris,10.6246,60.6424
Gentianella campestris,10.3696202823354,59.965356902161
Gentianella campestris,7.19327704766683,62.9925456627771
Gentianella campestris,8.7041,60.3125
Gentianella campestris,10.9726,62.5765
Gentianella campestris,12.1139,63.9761
Gentianella campestris,5.9746259057531,58.8409684230157
Gentianella campestris,8.61536947894431,59.8098333100789
Gentianella campestris,8.4374,60.9244
Gentianella campestris,10.49,60.2991
Gentianella campestris,10.8965,60.6945
Gentianella campestris,11.159,64.8142
Gentianella campestris,10.0147,61.8838
Gentianella campestris,7.2947,62.2262
Gentianella campestris,10.7657,60.7133
Gentianella campestris,10.1822,59.7171
Gentianella campestris,11.7572,65.1007
Gentianella campestris,7.8745,62.5158
Gentianella campestris,11.83712,57.79149
Gentianella campestris,9.04828,62.51331
Gentianella campestris,9.06629,62.50829
Gentianella campestris,8.98792,62.51772
Gentianella campestris,8.97522,62.50916
Gentianella campestris,8.95428,62.50406
Gentianella campestris,8.96511,62.50827
Gentianella campestris,17.19046,62.457
Gentianella campestris,16.12998,59.83784
Gentianella campestris,14.34111,61.26388
Gentianella campestris,15.65104,60.29877
Gentianella campestris,15.50523,58.5387
Gentianella campestris,16.07498,58.71293
Gentianella campestris,13.36992,55.69846
Gentianella campestris,14.52346,63.17261
Gentianella campestris,15.14537,62.7263
Gentianella campestris,13.80208,63.56706
Gentianella campestris,13.7788,63.56683
Gentianella campestris,15.42883,59.7742
Gentianella campestris,14.82349,59.43941
Gentianella campestris,10.785088,60.716194
Gentianella campestris,10.847708,60.625538
Gentianella campestris,13.62909,58.19278
Gentianella campestris,17.53378,62.52946
Gentianella campestris,13.61969,63.26518
Gentianella campestris,14.48881,63.33795
Gentianella campestris,17.19838,62.45961
Gentianella campestris,16.64564,62.44609
Gentianella campestris,17.44028,62.77289
Gentianella campestris,15.96269,62.59209
Gentianella campestris,12.54134,60.14922
Gentianella campestris,12.31766,59.52186
Gentianella campestris,17.8998,60.59193
Gentianella campestris,17.66774,60.43152
Gentianella campestris,18.28717,60.13803
Gentianella campestris,17.93893,60.24955
Gentianella campestris,18.05509,60.48651
Gentianella campestris,18.47556,60.2785
Gentianella campestris,15.28643,58.15251
Gentianella campestris,11.75028,57.64768
Gentianella campestris,17.97894,62.96665
Gentianella campestris,17.54748,62.53108
Gentianella campestris,17.61865,62.51941
Gentianella campestris,17.53883,62.48273
Gentianella campestris,18.46027,63.16201
Gentianella campestris,17.65833,62.43901
Gentianella campestris,16.64947,62.21383
Gentianella campestris,16.68465,58.36323
Gentianella campestris,15.94507,58.07882
Gentianella campestris,15.43386,58.19633
Gentianella campestris,15.42727,58.20248
Gentianella campestris,15.86407,58.14852
Gentianella campestris,15.07002,58.31498
Gentianella campestris,15.54041,57.87362
Gentianella campestris,15.55821,57.8173
Gentianella campestris,16.32689,58.28965
Gentianella campestris,15.38855,58.18507
Gentianella campestris,15.24213,58.09221
Gentianella campestris,15.22871,58.1087
Gentianella campestris,15.48143,57.83214
Gentianella campestris,15.09471,58.14159
Gentianella campestris,15.67131,57.96108
Gentianella campestris,18.70537,60.11247
Gentianella campestris,17.87346,59.18165
Gentianella campestris,16.26199,56.87052
Gentianella campestris,16.22961,56.90655
Gentianella campestris,15.68495,57.82759
Gentianella campestris,15.98349,57.61652
Gentianella campestris,12.70312,60.01565
Gentianella campestris,12.8409,60.05704
Gentianella campestris,12.79212,59.91001
Gentianella campestris,12.15634,59.52554
Gentianella campestris,12.69761,60.41618
Gentianella campestris,14.36396,59.75073
Gentianella campestris,11.16746,58.80542
Gentianella campestris,14.42914,57.81728
Gentianella campestris,14.40771,57.49668
Gentianella campestris,14.1429,57.53237
Gentianella campestris,15.77211,56.42053
Gentianella campestris,15.78077,58.34637
Gentianella campestris,16.49095,58.1228
Gentianella campestris,15.77086,57.75402
Gentianella campestris,15.16294,58.31241
Gentianella campestris,15.61982,58.23526
Gentianella campestris,14.66169,58.12228
Gentianella campestris,15.26689,58.09177
Gentianella campestris,14.40212,57.22534
Gentianella campestris,15.91417,58.07642
Gentianella campestris,15.78658,56.62978
Gentianella campestris,15.15287,58.08797
Gentianella campestris,15.23586,58.0816
Gentianella campestris,15.69313,58.32244
Gentianella campestris,15.42583,58.60313
Gentianella campestris,13.5949,58.53135
Gentianella campestris,9.623804,62.294781
